track_id,track_name,artists,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
trk_00001,Musica 00001,Artista 137,indie,59,0.4562,0.776,-1.7048,0.088,0.4793,0.0127,0.3919,0.3685,152.62,126975
trk_00002,Musica 00002,Artista 060,electronic,77,0.6758,0.5897,-5.1075,0.0987,0.1212,0.0657,0.1513,0.3452,127.89,279464
trk_00003,Musica 00003,Artista 075,latin,74,0.6498,0.4691,-3.5974,0.1164,0.1125,0.1462,0.1553,0.4336,115.62,250817
trk_00004,Musica 00004,Artista 151,funk,68,0.6018,0.4631,-4.4434,0.0171,0.1557,0.0389,0.1737,0.7349,71.41,113537
trk_00005,Musica 00005,Artista 166,pop,80,0.4536,0.6657,-4.9222,0.1393,0.41,0.0059,0.1818,0.6356,120.52,221305
trk_00006,Musica 00006,Artista 115,dance,67,0.5847,0.3127,-1.8913,0.086,0.2073,0.0514,0.0221,0.5824,164.13,243170
trk_00007,Musica 00007,Artista 031,indie,66,0.4899,0.6336,-1.4316,0.3278,0.1218,0.0848,0.0369,0.6116,107.84,224459
trk_00008,Musica 00008,Artista 118,indie,63,0.5397,0.6264,-1.6933,0.0583,0.1821,0.1233,0.0463,0.7831,108.26,248835
trk_00009,Musica 00009,Artista 148,pop,67,0.8511,0.1816,-9.1307,0.1143,0.1967,0.0591,0.0986,0.2197,151.6,264236
trk_00010,Musica 00010,Artista 142,electronic,59,0.6713,0.684,-9.6617,0.3292,0.3389,0.4603,0.3372,0.6741,83.56,210815
trk_00011,Musica 00011,Artista 132,hip-hop,54,0.6359,0.3853,-7.4374,0.0313,0.3046,0.0568,0.3909,0.2219,107.98,227367
trk_00012,Musica 00012,Artista 213,r&b,57,0.7176,0.0754,-9.2753,0.0246,0.4379,0.0646,0.1057,0.8542,140.4,182279
trk_00013,Musica 00013,Artista 146,funk,72,0.8621,0.5198,-0.2172,0.3544,0.4284,0.1849,0.1507,0.6865,142.51,335270
trk_00014,Musica 00014,Artista 234,latin,62,0.801,0.8382,-11.6481,0.0385,0.1962,0.0332,0.3873,0.5189,91.5,312210
trk_00015,Musica 00015,Artista 043,electronic,76,0.5931,0.6456,1.0,0.0164,0.0171,0.2226,0.2206,0.6036,144.22,178685
trk_00016,Musica 00016,Artista 152,rock,79,0.7166,0.6985,-3.0008,0.075,0.2294,0.2715,0.2207,0.4119,143.61,214101
trk_00017,Musica 00017,Artista 139,sertanejo,80,0.7726,0.7079,-2.6389,0.0702,0.3797,0.1047,0.4054,0.8923,105.06,172354
trk_00018,Musica 00018,Artista 009,pop,96,0.8414,0.7722,1.0,0.1208,0.2519,0.2047,0.0426,0.7361,122.39,283119
trk_00019,Musica 00019,Artista 238,latin,64,0.1604,0.417,-0.4687,0.0422,0.1602,0.105,0.0498,0.2897,146.08,238550
trk_00020,Musica 00020,Artista 138,funk,78,0.4981,0.4637,-4.1561,0.0313,0.2913,0.0267,0.1506,0.3808,115.85,212306
trk_00021,Musica 00021,Artista 198,indie,43,0.7841,0.4661,-4.9314,0.1212,0.429,0.2019,0.116,0.3207,81.19,258574
trk_00022,Musica 00022,Artista 020,hip-hop,64,0.8295,0.5007,-4.0926,0.0343,0.4489,0.1218,0.4153,0.2689,141.13,179973
trk_00023,Musica 00023,Artista 085,dance,79,0.8793,0.578,-3.8806,0.3259,0.4385,0.1137,0.088,0.6419,154.63,192800
trk_00024,Musica 00024,Artista 095,r&b,70,0.3143,0.8584,-3.0309,0.0319,0.294,0.1156,0.0562,0.436,129.49,174025
trk_00025,Musica 00025,Artista 017,indie,80,0.8086,0.8776,-1.6066,0.3086,0.1982,0.0508,0.2853,0.3904,111.44,274801
trk_00026,Musica 00026,Artista 179,rock,57,0.4083,0.5554,-7.3797,0.0758,0.4194,0.0326,0.1417,0.6517,122.42,177379
trk_00027,Musica 00027,Artista 145,electronic,85,0.6563,0.3372,-4.2035,0.0582,0.3207,0.0422,0.0901,0.4364,97.67,166409
trk_00028,Musica 00028,Artista 181,pop,70,0.7439,0.5138,-9.1139,0.1289,0.5348,0.0131,0.1067,0.5282,73.06,262764
trk_00029,Musica 00029,Artista 040,pop,73,0.3993,0.6433,-4.9679,0.1038,0.5163,0.0033,0.1192,0.4093,143.38,92094
trk_00030,Musica 00030,Artista 066,funk,59,0.8449,0.6452,-3.1064,0.0199,0.2493,0.1927,0.1296,0.1961,147.23,224494
trk_00031,Musica 00031,Artista 226,indie,44,0.5464,0.6528,-11.2931,0.336,0.4283,0.0461,0.333,0.3312,143.86,234008
trk_00032,Musica 00032,Artista 138,dance,42,0.3548,0.6468,-11.4235,0.0301,0.078,0.1526,0.186,0.5409,124.14,242969
trk_00033,Musica 00033,Artista 121,hip-hop,66,0.861,0.6152,-4.2502,0.0457,0.1248,0.1115,0.1933,0.496,159.39,152060
trk_00034,Musica 00034,Artista 065,hip-hop,81,0.8433,0.9161,-9.1423,0.1717,0.4325,0.2673,0.6475,0.4869,124.39,254118
trk_00035,Musica 00035,Artista 122,electronic,56,0.4492,0.9066,-3.4079,0.2192,0.4786,0.0024,0.6684,0.4346,124.61,102219
trk_00036,Musica 00036,Artista 215,rock,68,0.8773,0.536,-7.1011,0.2711,0.1293,0.132,0.2041,0.8308,55.0,191666
trk_00037,Musica 00037,Artista 209,pop,70,0.9059,0.6886,-3.3721,0.3425,0.1273,0.259,0.3015,0.152,114.33,201230
trk_00038,Musica 00038,Artista 169,electronic,71,0.7416,0.4816,-2.6305,0.2939,0.0534,0.0034,0.0972,0.5524,69.49,295102
trk_00039,Musica 00039,Artista 092,rock,48,0.5883,0.8813,-8.1463,0.2393,0.655,0.2555,0.1152,0.5835,157.1,209492
trk_00040,Musica 00040,Artista 205,funk,79,0.6522,0.8704,0.412,0.2578,0.3816,0.0394,0.182,0.2526,122.79,293153
trk_00041,Musica 00041,Artista 190,electronic,36,0.2141,0.2875,-6.9308,0.0373,0.128,0.1327,0.2631,0.5288,156.01,245334
trk_00042,Musica 00042,Artista 157,latin,54,0.5164,0.7828,-2.0569,0.0507,0.3628,0.0628,0.2575,0.2287,91.61,350410
trk_00043,Musica 00043,Artista 072,funk,63,0.5383,0.8255,0.9555,0.0556,0.1694,0.039,0.321,0.4237,122.06,192113
trk_00044,Musica 00044,Artista 006,hip-hop,72,0.6981,0.9007,-2.3215,0.0244,0.0668,0.0607,0.1974,0.5734,110.24,202931
trk_00045,Musica 00045,Artista 117,latin,53,0.8174,0.4358,-6.7169,0.1197,0.2409,0.3278,0.3538,0.3648,62.18,278629
trk_00046,Musica 00046,Artista 050,indie,44,0.5736,0.7033,-4.9968,0.1093,0.8455,0.199,0.0174,0.6909,155.76,264842
trk_00047,Musica 00047,Artista 054,hip-hop,53,0.451,0.468,-5.1181,0.039,0.4323,0.01,0.2114,0.6738,146.53,258450
trk_00048,Musica 00048,Artista 220,rock,49,0.3254,0.506,-3.2794,0.0643,0.3998,0.0055,0.0865,0.3064,128.03,247155
trk_00049,Musica 00049,Artista 182,funk,58,0.7155,0.5278,-0.793,0.0286,0.1208,0.0173,0.2357,0.6124,139.2,217632
trk_00050,Musica 00050,Artista 034,pop,69,0.8589,0.3575,-4.3957,0.1066,0.2187,0.074,0.2525,0.703,100.75,140750
trk_00051,Musica 00051,Artista 041,rock,40,0.5546,0.633,-11.968,0.0904,0.603,0.1936,0.4576,0.2389,89.71,144417
trk_00052,Musica 00052,Artista 177,pop,78,0.7857,0.7118,0.145,0.0156,0.3449,0.2031,0.2007,0.8898,101.64,236244
trk_00053,Musica 00053,Artista 061,indie,57,0.8692,0.6432,-4.243,0.0199,0.1352,0.007,0.3772,0.1123,100.18,149397
trk_00054,Musica 00054,Artista 049,funk,60,0.5515,0.7633,-1.2618,0.171,0.5572,0.0655,0.3455,0.4723,114.09,249276
trk_00055,Musica 00055,Artista 151,funk,80,0.6866,0.846,-2.7272,0.1507,0.4325,0.1612,0.0594,0.3685,127.37,205616
trk_00056,Musica 00056,Artista 044,indie,37,0.7482,0.2045,-12.5303,0.1016,0.0927,0.0219,0.1986,0.2654,114.86,280540
trk_00057,Musica 00057,Artista 023,electronic,46,0.7746,0.4118,-12.5183,0.2009,0.1646,0.0019,0.509,0.3667,164.91,247106
trk_00058,Musica 00058,Artista 009,sertanejo,44,0.6276,0.3657,-9.0384,0.0267,0.5525,0.0002,0.044,0.5352,78.97,177519
trk_00059,Musica 00059,Artista 169,pop,98,0.7011,0.8859,-3.2712,0.0564,0.2429,0.0193,0.0636,0.9677,138.9,259255
trk_00060,Musica 00060,Artista 114,pop,83,0.5315,0.6504,-8.6397,0.0505,0.5634,0.0273,0.2185,0.6998,100.53,247866
trk_00061,Musica 00061,Artista 091,funk,80,0.6969,0.758,-0.8724,0.0513,0.601,0.0376,0.2708,0.3664,111.72,223015
trk_00062,Musica 00062,Artista 018,electronic,53,0.6645,0.5914,-7.1868,0.0396,0.3016,0.1262,0.1821,0.3367,164.36,261287
trk_00063,Musica 00063,Artista 228,sertanejo,61,0.5247,0.2828,-5.5198,0.1621,0.2738,0.1616,0.178,0.3055,107.48,177486
trk_00064,Musica 00064,Artista 167,indie,62,0.516,0.7017,-2.8168,0.1989,0.0405,0.1149,0.1525,0.2413,105.44,186546
trk_00065,Musica 00065,Artista 170,funk,66,0.6094,0.6311,-5.2439,0.0052,0.2067,0.0649,0.0627,0.3802,106.99,168399
trk_00066,Musica 00066,Artista 229,sertanejo,78,0.8644,0.3151,-9.1963,0.3526,0.1247,0.0147,0.1055,0.5429,114.98,107480
